All calculations,Bus 16
"b:tnow in s","m:fehz in Hz"
6.911667,59.531630
6.921667,59.531356
6.931667,59.531081
6.941667,59.530808
6.951667,59.530534
6.961667,59.530261
6.971667,59.529988
6.981667,59.529715
6.991667,59.529442
7.001667,59.529169
7.011667,59.528895
7.021667,59.528622
7.031667,59.528348
7.041667,59.528073
7.051667,59.527798
7.061667,59.527522
7.071667,59.527245
7.081667,59.526968
7.091667,59.526690
7.101667,59.526411
7.111667,59.526131
7.121667,59.525850
7.131667,59.525567
7.141667,59.525284
7.151667,59.524999
7.161667,59.524714
7.171667,59.524426
7.181667,59.524138
7.191667,59.523848
7.201667,59.523557
7.211667,59.523264
7.221667,59.522970
7.231667,59.522675
7.241667,59.522378
7.251667,59.522079
7.261667,59.521779
7.271667,59.521478
7.281667,59.521175
7.291667,59.520870
7.301667,59.520564
7.311667,59.520257
7.321667,59.519948
7.331667,59.519637
7.341667,59.519325
7.351667,59.519012
7.361667,59.518697
7.371667,59.518381
7.381667,59.518063
7.391667,59.517744
7.401667,59.517424
7.411667,59.517103
7.421667,59.516780
7.431667,59.516456
7.441667,59.516131
7.451667,59.515805
7.461667,59.515477
7.471667,59.515149
7.481667,59.514820
7.491667,59.514490
7.501667,59.514159
7.511667,59.513827
7.521667,59.513494
7.531667,59.513161
7.541667,59.512827
7.551667,59.512493
7.561667,59.512158
7.571667,59.511823
7.581667,59.511487
7.591667,59.511151
7.601667,59.510815
7.611667,59.510478
7.621667,59.510142
7.631667,59.509805
7.641667,59.509469
7.651667,59.509133
7.661667,59.508797
7.671667,59.508461
7.681667,59.508125
7.691667,59.507790
7.701667,59.507456
7.711667,59.507122
7.721667,59.506788
7.731667,59.506456
7.741667,59.506124
7.751667,59.505793
7.761667,59.505463
7.771667,59.505133
7.781667,59.504805
7.791667,59.504478
7.801667,59.504152
7.811667,59.503828
7.821667,59.503505
7.831667,59.503183
7.841667,59.502862
7.851667,59.502543
7.861667,59.502226
7.871667,59.501910
7.881667,59.501596
7.891667,59.501284
7.901667,59.500973
7.911667,59.500665
7.921667,59.500358
7.931667,59.500053
7.941667,59.499750
7.951667,59.499449
7.961666,59.499151
7.971666,59.498854
7.981666,59.498560
7.991666,59.498267
8.001666,59.497977
8.011666,59.497689
8.021666,59.497404
8.031666,59.497121
8.041666,59.496840
8.051666,59.496561
8.061666,59.496285
8.071666,59.496012
8.081666,59.495740
8.091666,59.495471
8.101666,59.495205
8.111666,59.494941
8.121666,59.494679
8.131666,59.494420
8.141666,59.494164
8.151666,59.493909
8.161666,59.493657
8.171666,59.493408
8.181666,59.493161
8.191666,59.492917
8.201666,59.492674
8.211666,59.492435
8.221666,59.492197
8.231666,59.491962
8.241666,59.491729
8.251666,59.491498
8.261666,59.491270
8.271666,59.491044
8.281666,59.490820
8.291666,59.490598
8.301666,59.490378
8.311666,59.490160
8.321666,59.489944
8.331666,59.489731
8.341666,59.489519
8.351666,59.489309
8.361666,59.489100
8.371666,59.488894
8.381666,59.488689
8.391666,59.488485
8.401666,59.488284
8.411666,59.488084
8.421666,59.487885
8.431666,59.487688
8.441666,59.487491
8.451666,59.487297
8.461666,59.487103
8.471666,59.486911
8.481666,59.486719
8.491666,59.486529
8.501666,59.486340
8.511666,59.486151
8.521666,59.485963
8.531666,59.485776
8.541666,59.485590
8.551666,59.485404
8.561666,59.485219
8.571666,59.485034
8.581666,59.484850
8.591666,59.484666
8.601666,59.484482
8.611666,59.484298
8.621666,59.484115
8.631666,59.483931
8.641666,59.483748
8.651666,59.483565
8.661666,59.483381
8.671666,59.483198
8.681666,59.483014
8.691666,59.482830
8.701666,59.482645
8.711666,59.482461
8.721666,59.482276
8.731666,59.482090
8.741666,59.481904
8.751666,59.481717
8.761666,59.481530
8.771666,59.481342
8.781666,59.481154
8.791666,59.480965
8.801666,59.480775
8.811666,59.480584
8.821666,59.480393
8.831666,59.480201
8.841666,59.480008
8.851666,59.479814
8.861666,59.479619
8.871666,59.479424
8.881666,59.479227
8.891666,59.479030
8.901666,59.478832
8.911666,59.478633
8.921666,59.478433
8.931666,59.478232
8.941666,59.478030
8.951666,59.477827
8.961666,59.477623
8.971666,59.477419
8.981666,59.477213
8.991666,59.477007
9.001666,59.476800
9.011666,59.476592
9.021666,59.476383
9.031666,59.476173
9.041666,59.475963
9.051666,59.475752
9.061666,59.475540
9.071666,59.475327
9.081666,59.475114
9.091666,59.474900
9.101666,59.474686
9.111666,59.474470
9.121666,59.474255
9.131666,59.474039
9.141666,59.473822
9.151666,59.473605
9.161666,59.473388
9.171666,59.473170
9.181666,59.472952
9.191666,59.472733
9.201666,59.472515
9.211666,59.472296
9.221666,59.472077
9.231666,59.471858
9.241666,59.471639
9.251666,59.471419
9.261666,59.471200
9.271666,59.470981
9.281666,59.470762
9.291666,59.470543
9.301666,59.470325
9.311666,59.470107
9.321666,59.469888
9.331666,59.469671
9.341666,59.469453
9.351666,59.469236
9.361666,59.469020
9.371666,59.468804
9.381666,59.468589
9.391666,59.468374
9.401666,59.468160
9.411666,59.467946
9.421666,59.467733
9.431666,59.467521
9.441666,59.467310
9.451666,59.467100
9.461666,59.466890
9.471666,59.466681
9.481666,59.466473
9.491666,59.466267
9.501666,59.466061
9.511666,59.465856
9.521666,59.465652
9.531666,59.465450
9.541666,59.465248
9.551666,59.465048
9.561666,59.464848
9.571666,59.464650
9.581666,59.464453
9.591666,59.464258
9.601666,59.464063
9.611666,59.463870
9.621666,59.463678
9.631666,59.463488
9.641666,59.463299
9.651666,59.463111
9.661666,59.462924
9.671666,59.462739
9.681666,59.462555
9.691666,59.462373
9.701666,59.462192
9.711666,59.462012
9.721666,59.461834
9.731666,59.461657
9.741666,59.461481
9.751666,59.461307
9.761666,59.461135
9.771666,59.460963
9.781666,59.460794
9.791666,59.460625
9.801666,59.460458
9.811666,59.460292
9.821666,59.460128
9.831666,59.459965
9.841666,59.459803
9.851666,59.459643
9.861666,59.459484
9.871666,59.459326
9.881666,59.459170
9.891666,59.459015
9.901666,59.458861
9.911666,59.458708
9.921666,59.458557
9.931666,59.458407
9.941666,59.458258
9.951666,59.458110
9.961666,59.457963
9.971666,59.457818
9.981666,59.457673
9.991666,59.457530
10.001666,59.457388
10.011666,59.457246
10.021666,59.457106
10.031666,59.456966
10.041666,59.456828
10.051666,59.456690
10.061666,59.456554
10.071666,59.456418
10.081666,59.456283
10.091666,59.456148
10.101666,59.456014
10.111666,59.455882
10.121666,59.455749
10.131666,59.455618
10.141666,59.455487
10.151666,59.455356
10.161666,59.455226
10.171666,59.455097
10.181666,59.454968
10.191666,59.454839
10.201666,59.454711
10.211666,59.454583
10.221666,59.454455
10.231666,59.454328
10.241666,59.454201
10.251666,59.454074
10.261666,59.453948
10.271666,59.453821
10.281666,59.453695
10.291666,59.453568
10.301666,59.453442
10.311666,59.453316
10.321666,59.453190
10.331666,59.453063
10.341666,59.452937
10.351666,59.452811
10.361666,59.452684
10.371666,59.452557
10.381666,59.452430
10.391666,59.452303
10.401666,59.452176
10.411666,59.452048
10.421666,59.451920
10.431666,59.451792
10.441666,59.451664
10.451666,59.451535
10.461666,59.451406
10.471666,59.451276
10.481666,59.451146
10.491666,59.451016
10.501666,59.450885
10.511666,59.450754
10.521666,59.450622
10.531666,59.450490
10.541666,59.450357
10.551666,59.450224
10.561666,59.450091
10.571666,59.449957
10.581666,59.449822
10.591666,59.449688
10.601666,59.449552
10.611666,59.449416
10.621666,59.449280
10.631666,59.449143
10.641666,59.449006
10.651666,59.448868
10.661666,59.448730
10.671666,59.448591
10.681666,59.448452
10.691666,59.448312
10.701666,59.448172
10.711666,59.448032
10.721666,59.447891
10.731666,59.447750
10.741666,59.447609
10.751666,59.447467
10.761666,59.447325
10.771666,59.447182
10.781666,59.447039
10.791666,59.446896
10.801666,59.446753
10.811666,59.446610
10.821666,59.446466
10.831666,59.446322
10.841666,59.446178
10.851666,59.446034
10.861666,59.445890
10.871666,59.445746
10.881666,59.445601
10.891666,59.445457
10.901666,59.445313
10.911666,59.445168
10.921666,59.445024
10.931666,59.444880
10.941666,59.444736
10.951666,59.444592
10.961666,59.444448
10.971666,59.444305
10.981666,59.444161
10.991666,59.444018
11.001666,59.443876
11.011666,59.443733
11.021666,59.443591
11.031666,59.443449
11.041666,59.443308
11.051666,59.443167
11.061666,59.443026
11.071666,59.442886
11.081666,59.442746
11.091666,59.442607
11.101666,59.442469
11.111666,59.442331
11.121666,59.442193
11.131666,59.442057
11.141666,59.441920
11.151666,59.441785
11.161666,59.441650
11.171666,59.441516
11.181666,59.441382
11.191666,59.441249
11.201666,59.441117
11.211666,59.440986
11.221666,59.440855
11.231666,59.440726
11.241666,59.440596
11.251666,59.440468
11.261666,59.440341
11.271666,59.440214
11.281666,59.440088
11.291666,59.439964
11.301666,59.439839
11.311666,59.439716
11.321666,59.439594
11.331666,59.439472
11.341666,59.439352
11.351666,59.439232
11.361666,59.439113
11.371666,59.438995
11.381666,59.438878
11.391666,59.438761
11.401666,59.438646
11.411666,59.438531
11.421666,59.438418
11.431666,59.438305
11.441666,59.438193
11.451666,59.438082
11.461666,59.437971
11.471666,59.437862
11.481666,59.437753
11.491666,59.437645
11.501666,59.437538
11.511666,59.437432
11.521666,59.437327
11.531666,59.437222
11.541666,59.437118
11.551666,59.437015
11.561666,59.436913
11.571666,59.436811
11.581666,59.436711
11.591666,59.436610
11.601666,59.436511
11.611666,59.436412
11.621666,59.436314
11.631666,59.436217
11.641666,59.436120
11.651666,59.436024
11.661666,59.435928
11.671666,59.435833
11.681666,59.435739
11.691666,59.435645
11.701666,59.435551
11.711666,59.435459
11.721666,59.435366
11.731666,59.435274
11.741666,59.435183
11.751666,59.435092
11.761666,59.435001
